,Buyer,Listing,priceInWei,Seller,Block Sold,BRS,Collateral,XP,Aavegotchi ID,Kinship,MRS,Name,Staked Amount,NRG,AGG,SPK,BRN,EYS,EYC,Body,Face,Eyes,Head,Left Hand,Right Hand,Pet,Background,Naked,Body Item,Face Item,Eyes Item,Head Item,Left Hand Item,Right Hand Item,Pet Item,Background Item
30,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,86650,589000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624462631,505,maWETH,200,2678,146,505,Diamond Man,17160000000000000,85,82,72,11,19,7,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,0x18bfff508960710fee296502de84667c7f4e88cf,86652,589000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624462551,510,maUNI,200,2677,146,526,VietNam Lucky Pinky,1086960000000000000,20,5,33,95,96,25,0,0,0,39,41,123,40,0,False,NaN,NaN,NaN,Foxy Mask,Trezor Wallet,Apple Juice,Foxy Tail,NaN
32,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,86647,579000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624462469,499,maUNI,200,9334,146,499,Starseed,1086960000000000000,86,83,17,89,73,19,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,86648,579000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624462355,502,maAAVE,200,5503,146,502,Cherry,77640000000000000,89,98,26,65,93,78,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,86646,539000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624462073,498,maUNI,200,5500,147,498,5500,1090000000000000000,77,89,80,1,95,53,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,86645,549000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624462039,495,maAAVE,200,9350,160,495,Bobo,90000000000000000,2,69,24,96,65,12,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,0x60c4ae0ee854a20ea7796a9678090767679b30fc,86643,549000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624462007,489,maAAVE,200,5502,149,489,Cerberus,80322637800070334,45,99,72,90,73,95,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,0x60c4ae0ee854a20ea7796a9678090767679b30fc,86644,535000000000000000000,0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,1624461977,493,maAAVE,200,2679,147,493,Sentinel,77640000000000000,25,72,92,62,95,92,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,0xfe791b87f607ae6be8449e64d393c91be46a1245,85942,875000000000000000000,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,1624461721,511,maUSDT,90,7212,219,527,MaybeNextTime,25010000,31,12,90,4,89,76,68,0,36,39,20,20,152,0,False,Farmer Jeans,NaN,ETH Logo Glasses,Foxy Mask,Aave Plush,Aave Plush,Uncommon Rofl,NaN
39,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,86455,750000000000000000000,0x868a30ab5af30f32c427f7d6effaf06ef3bd2508,1624460237,500,maUNI,45,7140,87,512,UniBull,1114579861025911225,10,77,42,13,95,9,78,0,0,0,0,121,0,0,False,Black Jeans,NaN,NaN,NaN,NaN,Wine,NaN,NaN
40,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,86590,745000000000000000000,0x0df670ef3228416d1249ab7a9b32d683444a8565,1624460205,517,maAAVE,150,5626,127,517,Old Dirty Bastard,77639751552795025,75,89,87,97,67,96,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,84489,699000000000000000000,0x52cc79276ee6f36ad9cb1a4504a6c6446b8a3699,1624460113,508,maUSDC,100,5406,89,516,Surfer Jim,25000000,97,4,32,77,77,89,0,0,0,139,0,0,0,0,False,NaN,NaN,NaN,Snapshot Cap,NaN,NaN,NaN,NaN
42,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,85691,590000000000000000000,0xdccede7fc9210649eb6e593aeb351f89adb92831,1624460071,474,maWETH,0,1478,26,478,ETH BASED GOTCHI,17158544955387775,80,57,84,70,96,81,22,0,0,0,0,0,0,0,False,Captain Aave Suit,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,81059,500000000000000000000,0x36cac74a5a3ef38cf66e672b1cd54099b218fd9e,1624460033,481,maYFI,20,5774,6,481,my_darling,797702616464575,87,18,63,94,20,71,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,86612,480000000000000000000,0x952de65f7a361440b9a40d83b7995157bd5de3ff,1624460001,447,maUSDT,20,2275,71,447,Glamochi,10000000,1,32,67,65,85,59,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,0x4678cb6580b20bd4340fb5269e91af3e921180d8,86369,520000000000000000000,0x830437c8d234c61ae6bffbc11f2b885e6e934554,1624451381,490,maLINK,45,4079,97,496,Linkoopy,1000000000000000000,97,92,64,33,84,81,19,0,0,90,38,69,0,0,False,Aave Hero Shirt,NaN,NaN,Pajama Hat,32 ETH Coin,Pitchfork,NaN,NaN
46,0x60c4ae0ee854a20ea7796a9678090767679b30fc,86625,3000000000000000000000,0x7904adb48351af7b835cb061316795d5226b7f1a,1624446929,515,maWETH,0,7735,15,530,Gaia,30000000000000000,32,87,18,77,1,0,50,0,0,0,0,0,0,0,False,GldnXross Robe,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,84412,799000000000000000000,0x3aabc694608eddc24cc93abad0998171c8d4b8e5,1624432007,519,maUSDC,135,9360,149,535,CAPTAINAAVE,25010000,86,75,89,77,99,12,22,0,0,21,23,23,0,0,False,Captain Aave Suit,NaN,NaN,Captain Aave Mask,Captain Aave Shield,Captain Aave Shield,NaN,NaN
48,0x63350b1649c34d3135cef63b9d1369f8bb66bab3,86608,680000000000000000000,0x73df3559f3224f85258c160d3e17bdb9d6288ff4,1624431715,494,maUSDC,40,8288,214,500,Gotchus Alchemica,25010000,73,11,88,12,54,98,37,0,0,87,0,0,0,0,False,ETH Tshirt,NaN,NaN,Miner Helmet,NaN,NaN,NaN,NaN
49,0x9f8a134a291b7337d70256a096093d7b8bff3f62,86582,580000000000000000000,0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,1624408748,507,maAAVE,0,1805,21,507,Aavaa,2458000138489540706,85,0,38,76,84,96,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0x461d3fd11ab4e81b62c32c64114f81e16002b797,85946,999000000000000000000,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,1624404728,512,maDAI,170,2093,131,528,LV2+ HighBRP+ HighKinship,25000000000000000000,94,76,82,89,96,30,22,0,0,21,23,23,0,0,False,Captain Aave Suit,NaN,NaN,Captain Aave Mask,Captain Aave Shield,Captain Aave Shield,NaN,NaN
51,0x60c4ae0ee854a20ea7796a9678090767679b30fc,86533,597000000000000000000,0x67fdbb7326a6de4194b1dfee2e1e212952f0092b,1624361515,507,maTUSD,60,9628,124,511,ONIZUKA,25010000000000000000,92,31,91,97,58,95,19,0,0,0,134,0,0,0,False,Aave Hero Shirt,NaN,NaN,NaN,L2 Sign,NaN,NaN,NaN
52,0x43ff4c088df0a425d1a519d3030a1a3dfff05cfd,86520,500000000000000000000,0x4e880933aaa461a5fbd0d499f1e142d78f77c8ea,1624329035,507,maAAVE,0,1805,21,507,Aavaa,2458000138489540706,85,0,38,76,84,96,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,0x7e4724c60718a9f87ce51bcf8812bf90d0b7b9db,86477,1111000000000000000000,0x0b31e9737fee75157a9aa775e35a43dec1dc2059,1624280789,517,maWETH,800,4913,229,517,vetalink butarens,30000000000000000,91,59,12,10,4,90,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,0x7e4724c60718a9f87ce51bcf8812bf90d0b7b9db,86327,799000000000000000000,0x5bcaf05e99a7fd678f3f9ecb32983f2bfbba582d,1624204184,483,maUSDT,180,5220,246,483,Sanna Marin,26000000,7,36,54,96,89,16,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,0x60c4ae0ee854a20ea7796a9678090767679b30fc,86378,1818000000000000000000,0xb53cf0a586973ab15c0a045990d06b4fa083dd5a,1624193611,369,maUSDC,820,9461,258,369,Jack Sparrow,11110000,52,24,44,51,50,80,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,0xf28c2873ce5d8bdf5798b977b9d87d3c86d80a61,86230,499000000000000000000,0x2213aba7232bfd36586b0f4f61c977d95ebd3d94,1624154561,477,maWETH,0,2731,42,479,Golden Ruby,17158544955387775,67,14,82,79,65,6,0,0,0,0,0,64,0,0,False,NaN,NaN,NaN,NaN,NaN,Common Wizard Staff,NaN,NaN
57,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,86377,2000000000000000000000,0xb9e579f1c62a3ad26533e8bd3e7967348ac501c3,1624153291,541,maYFI,160,607,174,573,YFI,3200000000000000,0,95,85,99,79,21,132,0,0,133,58,130,0,0,False,Dragon Wings,NaN,NaN,Pointy Horns,Aagent Pistol,Fireball,NaN,NaN
58,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,85959,510000000000000000000,0x830437c8d234c61ae6bffbc11f2b885e6e934554,1624139535,487,maAAVE,85,6130,89,487,eddy,78000000000000000,50,3,75,14,6,82,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,0x4e7bf3694962fc482a16d60fd78f99db9c4c52b0,86319,490000000000000000000,0xbb403d793dda52f8512950953771b7c341086120,1624139379,490,maUNI,0,7611,35,490,Unigotchi,1105913223661731259,63,95,92,68,69,2,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,0x60c4ae0ee854a20ea7796a9678090767679b30fc,86312,1000000000000000000000,0x9b11b6d5eaf7dcc3dc2d65067e585ac814a0e29c,1624110867,505,maUNI,0,9975,43,505,Cocaine,2000000000000000000,50,81,76,98,1,96,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,0x60c4ae0ee854a20ea7796a9678090767679b30fc,86320,500000000000000000000,0x3a05fed22136b55cd3e4e9e60cf559539e691c49,1624110587,492,maAAVE,110,8452,106,492,John Doe,90000000000000000,46,3,62,83,4,97,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,86303,600000000000000000000,0xb9e579f1c62a3ad26533e8bd3e7967348ac501c3,1624086974,510,maDAI,40,9762,67,548,LOWER,25000000000000000000,7,54,9,98,22,6,81,0,0,80,83,82,0,0,False,Sushi Coat,NaN,NaN,Sushi Bandana,Sushi Knife,Sushi Piece,NaN,NaN
63,0x7e4724c60718a9f87ce51bcf8812bf90d0b7b9db,86258,1300000000000000000000,0x85f3dafd99b5279cea53ffc5901e05abcbb5d6da,1624049765,516,maTUSD,175,1539,221,516,Cheese,25000000000000000000,74,77,83,12,6,96,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,0x677975399cbd8aa7bd17a4b87c04ed07a85978d4,86107,733000000000000000000,0x3a460471ac951110ceeb7519583d0f7d4b2261b5,1624040272,517,maWETH,40,2932,166,519,Gavin James Wood,30000000000000000,26,97,85,69,95,7,78,0,0,77,0,0,0,0,False,Black Jeans,NaN,NaN,Bitcoin Beanie,NaN,NaN,NaN,NaN
65,0x60c4ae0ee854a20ea7796a9678090767679b30fc,85581,490000000000000000000,0xacd8c60b697e75323e84ee50193138f17ab53c88,1624004664,479,maDAI,80,1538,86,479,IMO,27000000000000000000,84,99,3,33,37,66,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,0x76e059c6ff6bf9fffd5f33afdf4ab2fd511c9df4,86188,493000000000000000000,0xd3753a133d7a4bf10e08673a00edbd2b740ac6e8,1624001836,493,maDAI,115,9210,126,511,Aavegotchi Vietnam UoYoU,25100000000000000000,11,4,79,6,53,79,109,0,0,108,137,110,0,0,False,Rasta Shirt,NaN,NaN,Rasta Hat,Vote Sign,Jamaican Flag,NaN,NaN
67,0x830437c8d234c61ae6bffbc11f2b885e6e934554,86165,439000000000000000000,0xf31b3a8d219775aa71e942c7748e0174f4506d5f,1623989258,477,maWETH,0,2731,42,479,Golden Ruby,17158544955387775,67,14,82,79,65,6,0,0,0,0,0,64,0,0,False,NaN,NaN,NaN,NaN,NaN,Common Wizard Staff,NaN,NaN
68,0x67922a9561423548a9ccfd67ad80d6c637c26bfe,86059,6100000000000000000000,0xf83c6f387b11cc7d0487b9e644e26cf298275033,1623962551,526,maTUSD,745,4882,202,526,XP BANK+KINSHIP+BSR,25000000000000000000,86,87,89,79,17,97,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,0xf31b3a8d219775aa71e942c7748e0174f4506d5f,86160,444000000000000000000,0x24266b04b3c96b1bab4704f7c59be7123bcd2b70,1623957225,477,maWETH,0,2731,42,479,Golden Ruby,17158544955387775,67,14,82,79,65,6,0,0,0,0,0,64,0,0,False,NaN,NaN,NaN,NaN,NaN,Common Wizard Staff,NaN,NaN
70,0x18bfff508960710fee296502de84667c7f4e88cf,86111,444000000000000000000,0xa54fb799525ac436f8bf3d88b3fa241a4e9e2599,1623954373,418,maUSDT,90,5490,179,436,VietNam BlackGao,10000000,64,35,78,3,54,56,138,146,117,139,137,64,0,0,False,Snapshot Shirt,Imperial Moustache,Cool shades,Snapshot Cap,Vote Sign,Common Wizard Staff,NaN,NaN
71,0x67922a9561423548a9ccfd67ad80d6c637c26bfe,85983,750000000000000000000,0x3ba960aeb77b01476cfef7838b40aa9016b0e3c5,1623943336,474,maDAI,260,2565,186,474,Rune Christensen,0,38,92,53,78,14,0,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,0x67922a9561423548a9ccfd67ad80d6c637c26bfe,86082,1350000000000000000000,0x795f50722cf5ad82f78dda8dc8f7b235332977c3,1623942650,491,maWETH,550,7360,0,491,550 EXP POWERBANK,0,77,76,20,77,87,89,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,0x67922a9561423548a9ccfd67ad80d6c637c26bfe,86081,1350000000000000000000,0x795f50722cf5ad82f78dda8dc8f7b235332977c3,1623942636,489,maWETH,550,7720,0,489,550 XP POWERBANK,0,81,11,18,97,52,15,0,0,0,0,0,0,0,0,True,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,0x67922a9561423548a9ccfd67ad80d6c637c26bfe,82268,9999000000000000000000,0xdd537c675db2597a0ff2a51c382dd36ba716d8fb,1623941810,546,maWETH,1400,632,41,630,BRROOMER,84442710036912360,19,85,100,0,90,86,102,0,159,101,106,120,154,0,False,Witchy Cloak,NaN,Lil Pump Shades,Witchy Hat,Portal Mage Axe,Martini,Legendary Rofl,NaN
75,0x3742f0fd8fce40411c450e74d270d4d5faaf92fd,86042,525000000000000000000,0x9ff84b91998df96a6587db8dde8d4e47518107d6,1623925992,456,maYFI,100,5033,106,460,BG,808232586510102,87,1,43,39,47,2,0,0,0,77,0,0,0,0,False,NaN,NaN,NaN,Bitcoin Beanie,NaN,NaN,NaN,NaN
